filename,syllable,tone,tone_description,pitch_adjusted
wav-syllables/bei6.wav,bei,6,neutral (high),true
wav-syllables/ben1.wav,ben,1,high level,true
wav-syllables/ben2.wav,ben,2,rising,false
wav-syllables/ben3.wav,ben,3,low dipping (half),false
wav-syllables/ben4.wav,ben,4,falling,false
wav-syllables/ben5.wav,ben,5,neutral,false
wav-syllables/ben6.wav,ben,6,neutral (high),true
wav-syllables/beng1.wav,beng,1,high level,true
wav-syllables/beng2.wav,beng,2,rising,false
wav-syllables/beng3.wav,beng,3,low dipping (half),false
wav-syllables/beng4.wav,beng,4,falling,false
wav-syllables/beng5.wav,beng,5,neutral,false
wav-syllables/beng6.wav,beng,6,neutral (high),true
wav-syllables/bi1.wav,bi,1,high level,true
wav-syllables/bi2.wav,bi,2,rising,false
wav-syllables/bi3.wav,bi,3,low dipping (half),false
wav-syllables/bi4.wav,bi,4,falling,false
wav-syllables/bi5.wav,bi,5,neutral,false
wav-syllables/bi6.wav,bi,6,neutral (high),true
wav-syllables/bian1.wav,bian,1,high level,true
wav-syllables/bian2.wav,bian,2,rising,false
wav-syllables/bian3.wav,bian,3,low dipping (half),false
wav-syllables/bian4.wav,bian,4,falling,false
wav-syllables/bian5.wav,bian,5,neutral,false
wav-syllables/bian6.wav,bian,6,neutral (high),true
wav-syllables/biao1.wav,biao,1,high level,true
wav-syllables/biao2.wav,biao,2,rising,false
wav-syllables/biao3.wav,biao,3,low dipping (half),false
wav-syllables/biao4.wav,biao,4,falling,false
wav-syllables/biao5.wav,biao,5,neutral,false
wav-syllables/biao6.wav,biao,6,neutral (high),true
wav-syllables/bie1.wav,bie,1,high level,true
wav-syllables/bie2.wav,bie,2,rising,false
wav-syllables/bie3.wav,bie,3,low dipping (half),false
wav-syllables/bie4.wav,bie,4,falling,false
wav-syllables/bie5.wav,bie,5,neutral,false
wav-syllables/bie6.wav,bie,6,neutral (high),true
wav-syllables/bin1.wav,bin,1,high level,true
wav-syllables/bin2.wav,bin,2,rising,false
wav-syllables/bin3.wav,bin,3,low dipping (half),false
wav-syllables/bin4.wav,bin,4,falling,false
wav-syllables/bin5.wav,bin,5,neutral,false
wav-syllables/bin6.wav,bin,6,neutral (high),true
wav-syllables/bing1.wav,bing,1,high level,true
wav-syllables/bing2.wav,bing,2,rising,false
wav-syllables/bing3.wav,bing,3,low dipping (half),false
wav-syllables/bing4.wav,bing,4,falling,false
wav-syllables/bing5.wav,bing,5,neutral,false
wav-syllables/bing6.wav,bing,6,neutral (high),true
wav-syllables/bo1.wav,bo,1,high level,true
wav-syllables/bo2.wav,bo,2,rising,false
wav-syllables/bo3.wav,bo,3,low dipping (half),false
wav-syllables/bo4.wav,bo,4,falling,false
wav-syllables/bo5.wav,bo,5,neutral,false
wav-syllables/bo6.wav,bo,6,neutral (high),true
wav-syllables/bu1.wav,bu,1,high level,true
wav-syllables/bu2.wav,bu,2,rising,false
wav-syllables/bu3.wav,bu,3,low dipping (half),false
wav-syllables/bu4.wav,bu,4,falling,false
wav-syllables/bu5.wav,bu,5,neutral,false
wav-syllables/bu6.wav,bu,6,neutral (high),true
wav-syllables/ca1.wav,ca,1,high level,true
wav-syllables/ca2.wav,ca,2,rising,false
wav-syllables/ca3.wav,ca,3,low dipping (half),false
wav-syllables/ca4.wav,ca,4,falling,false
wav-syllables/ca5.wav,ca,5,neutral,false
wav-syllables/ca6.wav,ca,6,neutral (high),true
wav-syllables/cai1.wav,cai,1,high level,true
wav-syllables/cai2.wav,cai,2,rising,false
wav-syllables/cai3.wav,cai,3,low dipping (half),false
wav-syllables/cai4.wav,cai,4,falling,false
wav-syllables/cai5.wav,cai,5,neutral,false
wav-syllables/cai6.wav,cai,6,neutral (high),true
wav-syllables/can1.wav,can,1,high level,true
wav-syllables/can2.wav,can,2,rising,false
wav-syllables/can3.wav,can,3,low dipping (half),false
wav-syllables/can4.wav,can,4,falling,false
wav-syllables/can5.wav,can,5,neutral,false
wav-syllables/can6.wav,can,6,neutral (high),true
wav-syllables/cang1.wav,cang,1,high level,true
wav-syllables/cang2.wav,cang,2,rising,false
wav-syllables/cang3.wav,cang,3,low dipping (half),false
wav-syllables/cang4.wav,cang,4,falling,false
wav-syllables/cang5.wav,cang,5,neutral,false
wav-syllables/cang6.wav,cang,6,neutral (high),true
wav-syllables/cao1.wav,cao,1,high level,true
wav-syllables/cao2.wav,cao,2,rising,false
wav-syllables/cao3.wav,cao,3,low dipping (half),false
wav-syllables/cao4.wav,cao,4,falling,false
wav-syllables/cao5.wav,cao,5,neutral,false
wav-syllables/cao6.wav,cao,6,neutral (high),true
wav-syllables/ce1.wav,ce,1,high level,true
wav-syllables/ce2.wav,ce,2,rising,false
wav-syllables/ce3.wav,ce,3,low dipping (half),false
wav-syllables/ce4.wav,ce,4,falling,false
wav-syllables/ce5.wav,ce,5,neutral,false
wav-syllables/ce6.wav,ce,6,neutral (high),true
wav-syllables/cen1.wav,cen,1,high level,true
wav-syllables/cen2.wav,cen,2,rising,false
wav-syllables/cen3.wav,cen,3,low dipping (half),false
wav-syllables/cen4.wav,cen,4,falling,false
wav-syllables/cen5.wav,cen,5,neutral,false
wav-syllables/cen6.wav,cen,6,neutral (high),true
wav-syllables/ceng1.wav,ceng,1,high level,true
wav-syllables/ceng2.wav,ceng,2,rising,false
wav-syllables/ceng3.wav,ceng,3,low dipping (half),false
wav-syllables/ceng4.wav,ceng,4,falling,false
wav-syllables/ceng5.wav,ceng,5,neutral,false
wav-syllables/ceng6.wav,ceng,6,neutral (high),true
wav-syllables/cha1.wav,cha,1,high level,true
wav-syllables/cha2.wav,cha,2,rising,false
wav-syllables/cha3.wav,cha,3,low dipping (half),false
wav-syllables/cha4.wav,cha,4,falling,false
wav-syllables/cha5.wav,cha,5,neutral,false
wav-syllables/cha6.wav,cha,6,neutral (high),true
wav-syllables/chai1.wav,chai,1,high level,true
wav-syllables/chai2.wav,chai,2,rising,false
wav-syllables/chai3.wav,chai,3,low dipping (half),false
wav-syllables/chai4.wav,chai,4,falling,false
wav-syllables/chai5.wav,chai,5,neutral,false
wav-syllables/chai6.wav,chai,6,neutral (high),true
wav-syllables/chan1.wav,chan,1,high level,true
wav-syllables/chan2.wav,chan,2,rising,false
wav-syllables/chan3.wav,chan,3,low dipping (half),false
wav-syllables/chan4.wav,chan,4,falling,false
wav-syllables/chan5.wav,chan,5,neutral,false
wav-syllables/chan6.wav,chan,6,neutral (high),true
wav-syllables/chang1.wav,chang,1,high level,true
wav-syllables/chang2.wav,chang,2,rising,false
wav-syllables/chang3.wav,chang,3,low dipping (half),false
wav-syllables/chang4.wav,chang,4,falling,false
wav-syllables/chang5.wav,chang,5,neutral,false
wav-syllables/chang6.wav,chang,6,neutral (high),true
wav-syllables/chao1.wav,chao,1,high level,true
wav-syllables/chao2.wav,chao,2,rising,false
wav-syllables/chao3.wav,chao,3,low dipping (half),false
wav-syllables/chao4.wav,chao,4,falling,false
wav-syllables/chao5.wav,chao,5,neutral,false
wav-syllables/chao6.wav,chao,6,neutral (high),true
wav-syllables/che1.wav,che,1,high level,true
wav-syllables/che2.wav,che,2,rising,false
wav-syllables/che3.wav,che,3,low dipping (half),false
wav-syllables/che4.wav,che,4,falling,false
wav-syllables/che5.wav,che,5,neutral,false
wav-syllables/che6.wav,che,6,neutral (high),true
wav-syllables/chen1.wav,chen,1,high level,true
wav-syllables/chen2.wav,chen,2,rising,false
wav-syllables/chen3.wav,chen,3,low dipping (half),false
wav-syllables/chen4.wav,chen,4,falling,false
wav-syllables/chen5.wav,chen,5,neutral,false
wav-syllables/chen6.wav,chen,6,neutral (high),true
wav-syllables/cheng1.wav,cheng,1,high level,true
wav-syllables/cheng2.wav,cheng,2,rising,false
wav-syllables/cheng3.wav,cheng,3,low dipping (half),false
wav-syllables/cheng4.wav,cheng,4,falling,false
wav-syllables/cheng5.wav,cheng,5,neutral,false
wav-syllables/cheng6.wav,cheng,6,neutral (high),true
wav-syllables/chi1.wav,chi,1,high level,true
wav-syllables/chi2.wav,chi,2,rising,false
wav-syllables/chi3.wav,chi,3,low dipping (half),false
wav-syllables/chi4.wav,chi,4,falling,false
wav-syllables/chi5.wav,chi,5,neutral,false
wav-syllables/chi6.wav,chi,6,neutral (high),true
wav-syllables/chong1.wav,chong,1,high level,true
wav-syllables/chong2.wav,chong,2,rising,false
wav-syllables/chong3.wav,chong,3,low dipping (half),false
wav-syllables/chong4.wav,chong,4,falling,false
wav-syllables/chong5.wav,chong,5,neutral,false
wav-syllables/chong6.wav,chong,6,neutral (high),true
wav-syllables/chou1.wav,chou,1,high level,true
wav-syllables/chou2.wav,chou,2,rising,false
wav-syllables/chou3.wav,chou,3,low dipping (half),false
wav-syllables/chou4.wav,chou,4,falling,false
wav-syllables/chou5.wav,chou,5,neutral,false
wav-syllables/chou6.wav,chou,6,neutral (high),true
wav-syllables/chu1.wav,chu,1,high level,true
wav-syllables/chu2.wav,chu,2,rising,false
wav-syllables/chu3.wav,chu,3,low dipping (half),false
wav-syllables/chu4.wav,chu,4,falling,false
wav-syllables/chu5.wav,chu,5,neutral,false
wav-syllables/chu6.wav,chu,6,neutral (high),true
wav-syllables/chua1.wav,chua,1,high level,true
wav-syllables/chua2.wav,chua,2,rising,false
wav-syllables/chua3.wav,chua,3,low dipping (half),false
wav-syllables/chua4.wav,chua,4,falling,false
wav-syllables/chua5.wav,chua,5,neutral,false
wav-syllables/chua6.wav,chua,6,neutral (high),true
wav-syllables/chuai1.wav,chuai,1,high level,true
wav-syllables/chuai2.wav,chuai,2,rising,false
wav-syllables/chuai3.wav,chuai,3,low dipping (half),false
wav-syllables/chuai4.wav,chuai,4,falling,false
wav-syllables/chuai5.wav,chuai,5,neutral,false
wav-syllables/chuai6.wav,chuai,6,neutral (high),true
wav-syllables/chuan1.wav,chuan,1,high level,true
wav-syllables/chuan2.wav,chuan,2,rising,false
wav-syllables/chuan3.wav,chuan,3,low dipping (half),false
wav-syllables/chuan4.wav,chuan,4,falling,false
wav-syllables/chuan5.wav,chuan,5,neutral,false
wav-syllables/chuan6.wav,chuan,6,neutral (high),true
wav-syllables/chuang1.wav,chuang,1,high level,true
wav-syllables/chuang2.wav,chuang,2,rising,false
wav-syllables/chuang3.wav,chuang,3,low dipping (half),false
wav-syllables/chuang4.wav,chuang,4,falling,false
wav-syllables/chuang5.wav,chuang,5,neutral,false
wav-syllables/chuang6.wav,chuang,6,neutral (high),true
wav-syllables/chui1.wav,chui,1,high level,true
wav-syllables/chui2.wav,chui,2,rising,false
wav-syllables/chui3.wav,chui,3,low dipping (half),false
wav-syllables/chui4.wav,chui,4,falling,false
wav-syllables/chui5.wav,chui,5,neutral,false
wav-syllables/chui6.wav,chui,6,neutral (high),true
wav-syllables/chun1.wav,chun,1,high level,true
wav-syllables/chun2.wav,chun,2,rising,false
wav-syllables/chun3.wav,chun,3,low dipping (half),false
wav-syllables/chun4.wav,chun,4,falling,false
wav-syllables/chun5.wav,chun,5,neutral,false
wav-syllables/chun6.wav,chun,6,neutral (high),true
wav-syllables/chuo1.wav,chuo,1,high level,true
wav-syllables/chuo2.wav,chuo,2,rising,false
wav-syllables/chuo3.wav,chuo,3,low dipping (half),false
wav-syllables/chuo4.wav,chuo,4,falling,false
wav-syllables/chuo5.wav,chuo,5,neutral,false
wav-syllables/chuo6.wav,chuo,6,neutral (high),true
wav-syllables/ci1.wav,ci,1,high level,true
wav-syllables/ci2.wav,ci,2,rising,false
wav-syllables/ci3.wav,ci,3,low dipping (half),false
wav-syllables/ci4.wav,ci,4,falling,false
wav-syllables/ci5.wav,ci,5,neutral,false
wav-syllables/ci6.wav,ci,6,neutral (high),true
wav-syllables/cong1.wav,cong,1,high level,true
wav-syllables/cong2.wav,cong,2,rising,false
wav-syllables/cong3.wav,cong,3,low dipping (half),false
wav-syllables/cong4.wav,cong,4,falling,false
wav-syllables/cong5.wav,cong,5,neutral,false
wav-syllables/cong6.wav,cong,6,neutral (high),true
wav-syllables/cou1.wav,cou,1,high level,true
wav-syllables/cou2.wav,cou,2,rising,false
wav-syllables/cou3.wav,cou,3,low dipping (half),false
wav-syllables/cou4.wav,cou,4,falling,false
wav-syllables/cou5.wav,cou,5,neutral,false
wav-syllables/cou6.wav,cou,6,neutral (high),true
wav-syllables/cu1.wav,cu,1,high level,true
wav-syllables/cu2.wav,cu,2,rising,false
wav-syllables/cu3.wav,cu,3,low dipping (half),false
wav-syllables/cu4.wav,cu,4,falling,false
wav-syllables/cu5.wav,cu,5,neutral,false
wav-syllables/cu6.wav,cu,6,neutral (high),true
wav-syllables/cuan1.wav,cuan,1,high level,true
wav-syllables/cuan2.wav,cuan,2,rising,false
wav-syllables/cuan3.wav,cuan,3,low dipping (half),false
wav-syllables/cuan4.wav,cuan,4,falling,false
wav-syllables/cuan5.wav,cuan,5,neutral,false
wav-syllables/cuan6.wav,cuan,6,neutral (high),true
wav-syllables/cui1.wav,cui,1,high level,true
wav-syllables/cui2.wav,cui,2,rising,false
wav-syllables/cui3.wav,cui,3,low dipping (half),false
wav-syllables/cui4.wav,cui,4,falling,false
wav-syllables/cui5.wav,cui,5,neutral,false
wav-syllables/cui6.wav,cui,6,neutral (high),true
wav-syllables/cun1.wav,cun,1,high level,true
wav-syllables/cun2.wav,cun,2,rising,false
wav-syllables/cun3.wav,cun,3,low dipping (half),false
wav-syllables/cun4.wav,cun,4,falling,false
wav-syllables/cun5.wav,cun,5,neutral,false
wav-syllables/cun6.wav,cun,6,neutral (high),true
wav-syllables/cuo1.wav,cuo,1,high level,true
wav-syllables/cuo2.wav,cuo,2,rising,false
wav-syllables/cuo3.wav,cuo,3,low dipping (half),false
wav-syllables/cuo4.wav,cuo,4,falling,false
wav-syllables/cuo5.wav,cuo,5,neutral,false
wav-syllables/cuo6.wav,cuo,6,neutral (high),true
wav-syllables/da1.wav,da,1,high level,true
wav-syllables/da2.wav,da,2,rising,false
wav-syllables/da3.wav,da,3,low dipping (half),false
wav-syllables/da4.wav,da,4,falling,false
wav-syllables/da5.wav,da,5,neutral,false
wav-syllables/da6.wav,da,6,neutral (high),true
wav-syllables/dai1.wav,dai,1,high level,true
wav-syllables/dai2.wav,dai,2,rising,false
wav-syllables/dai3.wav,dai,3,low dipping (half),false
wav-syllables/dai4.wav,dai,4,falling,false
wav-syllables/dai5.wav,dai,5,neutral,false
wav-syllables/dai6.wav,dai,6,neutral (high),true
wav-syllables/dan1.wav,dan,1,high level,true
wav-syllables/dan2.wav,dan,2,rising,false
wav-syllables/dan3.wav,dan,3,low dipping (half),false
wav-syllables/dan4.wav,dan,4,falling,false
wav-syllables/dan5.wav,dan,5,neutral,false
wav-syllables/dan6.wav,dan,6,neutral (high),true
wav-syllables/dang1.wav,dang,1,high level,true
wav-syllables/dang2.wav,dang,2,rising,false
wav-syllables/dang3.wav,dang,3,low dipping (half),false
wav-syllables/dang4.wav,dang,4,falling,false
wav-syllables/dang5.wav,dang,5,neutral,false
wav-syllables/dang6.wav,dang,6,neutral (high),true
wav-syllables/dao1.wav,dao,1,high level,true
wav-syllables/dao2.wav,dao,2,rising,false
wav-syllables/dao3.wav,dao,3,low dipping (half),false
wav-syllables/dao4.wav,dao,4,falling,false
wav-syllables/dao5.wav,dao,5,neutral,false
wav-syllables/dao6.wav,dao,6,neutral (high),true
wav-syllables/de1.wav,de,1,high level,true
wav-syllables/de2.wav,de,2,rising,false
wav-syllables/de3.wav,de,3,low dipping (half),false
wav-syllables/de4.wav,de,4,falling,false
wav-syllables/de5-f.wav,de,5,neutral,false
wav-syllables/de5.wav,de,5,neutral,false
wav-syllables/de6-f.wav,de,6,neutral (high),true
wav-syllables/de6.wav,de,6,neutral (high),true
wav-syllables/dei1.wav,dei,1,high level,true
wav-syllables/dei2.wav,dei,2,rising,false
wav-syllables/dei3.wav,dei,3,low dipping (half),false
wav-syllables/dei4.wav,dei,4,falling,false
wav-syllables/dei5.wav,dei,5,neutral,false
wav-syllables/dei6.wav,dei,6,neutral (high),true
wav-syllables/den1.wav,den,1,high level,true
wav-syllables/den2.wav,den,2,rising,false
wav-syllables/den3.wav,den,3,low dipping (half),false
wav-syllables/den4.wav,den,4,falling,false
wav-syllables/den5.wav,den,5,neutral,false
wav-syllables/den6.wav,den,6,neutral (high),true
wav-syllables/deng1.wav,deng,1,high level,true
wav-syllables/deng2.wav,deng,2,rising,false
wav-syllables/deng3.wav,deng,3,low dipping (half),false
wav-syllables/deng4.wav,deng,4,falling,false
wav-syllables/deng5.wav,deng,5,neutral,false
wav-syllables/deng6.wav,deng,6,neutral (high),true
wav-syllables/di1.wav,di,1,high level,true
wav-syllables/di2.wav,di,2,rising,false
wav-syllables/di3.wav,di,3,low dipping (half),false
wav-syllables/di4.wav,di,4,falling,false
wav-syllables/di5.wav,di,5,neutral,false
wav-syllables/di6.wav,di,6,neutral (high),true
wav-syllables/dia1.wav,dia,1,high level,true
wav-syllables/dia2.wav,dia,2,rising,false
wav-syllables/dia3.wav,dia,3,low dipping (half),false
wav-syllables/dia4.wav,dia,4,falling,false
wav-syllables/dia5.wav,dia,5,neutral,false
wav-syllables/dia6.wav,dia,6,neutral (high),true
wav-syllables/dian1.wav,dian,1,high level,true
wav-syllables/dian2.wav,dian,2,rising,false
wav-syllables/dian3.wav,dian,3,low dipping (half),false
wav-syllables/dian4.wav,dian,4,falling,false
wav-syllables/dian5.wav,dian,5,neutral,false
wav-syllables/dian6.wav,dian,6,neutral (high),true
wav-syllables/diao1.wav,diao,1,high level,true
wav-syllables/diao2.wav,diao,2,rising,false
wav-syllables/diao3.wav,diao,3,low dipping (half),false
wav-syllables/diao4.wav,diao,4,falling,false
wav-syllables/diao5.wav,diao,5,neutral,false
wav-syllables/diao6.wav,diao,6,neutral (high),true
wav-syllables/die1.wav,die,1,high level,true
wav-syllables/die2.wav,die,2,rising,false
wav-syllables/die3.wav,die,3,low dipping (half),false
wav-syllables/die4.wav,die,4,falling,false
wav-syllables/die5.wav,die,5,neutral,false
wav-syllables/die6.wav,die,6,neutral (high),true
wav-syllables/ding1.wav,ding,1,high level,true
wav-syllables/ding2.wav,ding,2,rising,false
wav-syllables/ding3.wav,ding,3,low dipping (half),false
wav-syllables/ding4.wav,ding,4,falling,false
wav-syllables/ding5.wav,ding,5,neutral,false
wav-syllables/ding6.wav,ding,6,neutral (high),true
wav-syllables/diu1.wav,diu,1,high level,true
wav-syllables/diu2.wav,diu,2,rising,false
wav-syllables/diu3.wav,diu,3,low dipping (half),false
wav-syllables/diu4.wav,diu,4,falling,false
wav-syllables/diu5.wav,diu,5,neutral,false
wav-syllables/diu6.wav,diu,6,neutral (high),true
wav-syllables/dong1.wav,dong,1,high level,true
wav-syllables/dong2.wav,dong,2,rising,false
wav-syllables/dong3.wav,dong,3,low dipping (half),false
wav-syllables/dong4.wav,dong,4,falling,false
wav-syllables/dong5.wav,dong,5,neutral,false
wav-syllables/dong6.wav,dong,6,neutral (high),true
wav-syllables/dou1.wav,dou,1,high level,true
wav-syllables/dou2.wav,dou,2,rising,false
wav-syllables/dou3.wav,dou,3,low dipping (half),false
wav-syllables/dou4.wav,dou,4,falling,false
wav-syllables/dou5.wav,dou,5,neutral,false
wav-syllables/dou6.wav,dou,6,neutral (high),true
wav-syllables/du1.wav,du,1,high level,true
wav-syllables/du2.wav,du,2,rising,false
wav-syllables/du3.wav,du,3,low dipping (half),false
wav-syllables/du4.wav,du,4,falling,false
wav-syllables/du5.wav,du,5,neutral,false
wav-syllables/du6.wav,du,6,neutral (high),true
wav-syllables/duan1.wav,duan,1,high level,true
wav-syllables/duan2.wav,duan,2,rising,false
wav-syllables/duan3.wav,duan,3,low dipping (half),false
wav-syllables/duan4.wav,duan,4,falling,false
wav-syllables/duan5.wav,duan,5,neutral,false
wav-syllables/duan6.wav,duan,6,neutral (high),true
wav-syllables/dui1.wav,dui,1,high level,true
wav-syllables/dui2.wav,dui,2,rising,false
wav-syllables/dui3.wav,dui,3,low dipping (half),false
wav-syllables/dui4.wav,dui,4,falling,false
wav-syllables/dui5.wav,dui,5,neutral,false
wav-syllables/dui6.wav,dui,6,neutral (high),true
wav-syllables/dun1.wav,dun,1,high level,true
wav-syllables/dun2.wav,dun,2,rising,false
wav-syllables/dun3.wav,dun,3,low dipping (half),false
wav-syllables/dun4.wav,dun,4,falling,false
wav-syllables/dun5.wav,dun,5,neutral,false
wav-syllables/dun6.wav,dun,6,neutral (high),true
wav-syllables/duo1.wav,duo,1,high level,true
wav-syllables/duo2.wav,duo,2,rising,false
wav-syllables/duo3.wav,duo,3,low dipping (half),false
wav-syllables/duo4.wav,duo,4,falling,false
wav-syllables/duo5.wav,duo,5,neutral,false
wav-syllables/duo6.wav,duo,6,neutral (high),true
wav-syllables/e1.wav,e,1,high level,true
wav-syllables/e2.wav,e,2,rising,false
wav-syllables/e3.wav,e,3,low dipping (half),false
wav-syllables/e4.wav,e,4,falling,false
wav-syllables/e5.wav,e,5,neutral,false
wav-syllables/e6.wav,e,6,neutral (high),true
wav-syllables/ei1.wav,ei,1,high level,true
wav-syllables/ei2.wav,ei,2,rising,false
wav-syllables/ei3.wav,ei,3,low dipping (half),false
wav-syllables/ei4.wav,ei,4,falling,false
wav-syllables/ei5.wav,ei,5,neutral,false
wav-syllables/ei6.wav,ei,6,neutral (high),true
wav-syllables/en1.wav,en,1,high level,true
wav-syllables/en2.wav,en,2,rising,false
wav-syllables/en3.wav,en,3,low dipping (half),false
wav-syllables/en4.wav,en,4,falling,false
wav-syllables/en5.wav,en,5,neutral,false
wav-syllables/en6.wav,en,6,neutral (high),true
wav-syllables/eng1.wav,eng,1,high level,true
wav-syllables/eng2.wav,eng,2,rising,false
wav-syllables/eng3.wav,eng,3,low dipping (half),false
wav-syllables/eng4.wav,eng,4,falling,false
wav-syllables/eng5.wav,eng,5,neutral,false
wav-syllables/eng6.wav,eng,6,neutral (high),true
wav-syllables/er1.wav,er,1,high level,true
wav-syllables/er2.wav,er,2,rising,false
wav-syllables/er3.wav,er,3,low dipping (half),false
wav-syllables/er4.wav,er,4,falling,false
wav-syllables/er5.wav,er,5,neutral,false
wav-syllables/er6.wav,er,6,neutral (high),true
wav-syllables/fa1.wav,fa,1,high level,true
wav-syllables/fa2.wav,fa,2,rising,false
wav-syllables/fa3.wav,fa,3,low dipping (half),false
wav-syllables/fa4.wav,fa,4,falling,false
wav-syllables/fa5.wav,fa,5,neutral,false
wav-syllables/fa6.wav,fa,6,neutral (high),true
wav-syllables/fan1.wav,fan,1,high level,true
wav-syllables/fan2.wav,fan,2,rising,false
wav-syllables/fan3.wav,fan,3,low dipping (half),false
wav-syllables/fan4.wav,fan,4,falling,false
wav-syllables/fan5.wav,fan,5,neutral,false
wav-syllables/fan6.wav,fan,6,neutral (high),true
wav-syllables/fang1.wav,fang,1,high level,true
wav-syllables/fang2.wav,fang,2,rising,false
wav-syllables/fang3.wav,fang,3,low dipping (half),false
wav-syllables/fang4.wav,fang,4,falling,false
wav-syllables/fang5.wav,fang,5,neutral,false
wav-syllables/fang6.wav,fang,6,neutral (high),true
wav-syllables/fei1.wav,fei,1,high level,true
wav-syllables/fei2.wav,fei,2,rising,false
wav-syllables/fei3.wav,fei,3,low dipping (half),false
wav-syllables/fei4.wav,fei,4,falling,false
wav-syllables/fei5.wav,fei,5,neutral,false
wav-syllables/fei6.wav,fei,6,neutral (high),true
wav-syllables/fen1.wav,fen,1,high level,true
wav-syllables/fen2.wav,fen,2,rising,false
wav-syllables/fen3.wav,fen,3,low dipping (half),false
wav-syllables/fen4.wav,fen,4,falling,false
wav-syllables/fen5.wav,fen,5,neutral,false
wav-syllables/fen6.wav,fen,6,neutral (high),true
wav-syllables/feng1.wav,feng,1,high level,true
wav-syllables/feng2.wav,feng,2,rising,false
wav-syllables/feng3.wav,feng,3,low dipping (half),false
wav-syllables/feng4.wav,feng,4,falling,false
wav-syllables/feng5.wav,feng,5,neutral,false
wav-syllables/feng6.wav,feng,6,neutral (high),true
wav-syllables/fo1.wav,fo,1,high level,true
wav-syllables/fo2.wav,fo,2,rising,false
wav-syllables/fo3.wav,fo,3,low dipping (half),false
wav-syllables/fo4.wav,fo,4,falling,false
wav-syllables/fo5.wav,fo,5,neutral,false
wav-syllables/fo6.wav,fo,6,neutral (high),true
wav-syllables/fou1.wav,fou,1,high level,true
wav-syllables/fou2.wav,fou,2,rising,false
wav-syllables/fou3.wav,fou,3,low dipping (half),false
wav-syllables/fou4.wav,fou,4,falling,false
wav-syllables/fou5.wav,fou,5,neutral,false
